id, name, quote, tags
196, William Shakespeare, Be not afraid of greatness. Some are born great* some achieve greatness* and others have greatness thrust upon them., greatness* 
197, J.K. Rowling," Do you remember me telling you we are practicing non-verbal spells* Potter?""""Yes*"" said Harry stiffly.""Yes* sir.""""There's no need to call me ""sir"" Professor.""The words had escaped him before he knew what he was saying.", humor* rebellion* sarcasm* 
198, Maya Angelou, What you're supposed to do when you don't like a thing is change it. If you can't change it* change the way you think about it. Don't complain., 1993* advice* complaining* inspirational* 
199, George Orwell, Perhaps one did not want to be loved so much as to be understood., truth* 
200, Socrates, The only true wisdom is in knowing you know nothing., knowledge* wisdom* 
201, Ernest Hemingway, Happiness in intelligent people is the rarest thing I know., happiness* 
202, Nicolas Chamfort, A day without laughter is a day wasted., philosophy* 
203, Bob Marley, He’s not perfect. You aren’t either* and the two of you will never be perfect. But if he can make you laugh at least once* causes you to think twice* and if he admits to being human and making mistakes* hold onto him and give him the most you can. He isn’t going to quote poetry* he’s not thinking about you every moment* but he will give you a part of him that he knows you could break. Don’t hurt him* don’t change him* and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy* yell when he makes you mad* and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist* but there’s always one guy that is perfect for you., inspirational* love* 
204, Dr. Seuss, A person's a person* no matter how small., inspirational* 
205, Oscar Wilde, Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight* and his punishment is that he sees the dawn before the rest of the world., dreaming* dreams* imagination* 
206, John Green," Thomas Edison's last words were ""It's very beautiful over there"". I don't know where there is* but I believe it's somewhere* and I hope it's beautiful.", 
207, Oscar Wilde, You can never be overdressed or overeducated., education* fashion* 
208, Edgar Allan Poe, I became insane* with long intervals of horrible sanity., insanity* sanity* 
209, Henri Nouwen, When we honestly ask ourselves which person in our lives mean the most to us* we often find that it is those who* instead of giving advice* solutions* or cures* have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion* who can stay with us in an hour of grief and bereavement* who can tolerate not knowing* not curing* not healing and face with us the reality of our powerlessness* that is a friend who cares., empathy* friends* friendship* inspirational* 
210, Frank Herbert, I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain., bene-gesserit* fear* litany-against-fear* motivational* scifi* 
211, John Green," When adults say* ""Teenagers think they are invincible"" with that sly* stupid smile on their faces* they don't know how right they are. We need never be hopeless* because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born* and we cannot die. Like all energy* we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end* and so it cannot fail.", invincible* teenagers* teens* 
212, John Green, Oh* I wouldn't mind* Hazel Grace. It would be a privilege to have my heart broken by you., augustus-waters* hazel* heartbreak* privilege* 
213, J.K. Rowling, Numbing the pain for a while will make it worse when you finally feel it., pain* 
214, Nicholas Sparks, I finally understood what true love meant...love meant that you care for another person's happiness more than your own* no matter how painful the choices you face might be., dear-john* nicholas-sparks* 
215, Ralph Waldo Emerson, It is one of the blessings of old friends that you can afford to be stupid with them., friends* 
216, Chuck Palahniuk, The one you love and the one who loves you are never* ever the same person., life* love* 
217, Cassandra Clare," Jesus!"" Luke exclaimed.""Actually* it's just me*"" said Simon. ""Although I've been told the resemblance is startling.", humor* jace-wayland* simon-lewis* 
218, Charles W. Eliot, Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors* and the most patient of teachers., books* friends* reading* teachers* 
219, Markus Herz, Be careful about reading health books. Some fine day you'll die of a misprint., books* health* humor* misattributed-mark-twain* misprints* 
220, J.K. Rowling, Just because you have the emotional range of a teaspoon doesn't mean we all have., hermione* 
221, Nicholas Sparks, You can't live your life for other people. You've got to do what's right for you* even if it hurts some people you love., inspirational* the-notebook* 
222, Mahatma Gandhi, An eye for an eye will only make the whole world blind., attributed-no-source* conflict* fighting* peace* revenge* trial* violence* 
223, Victor hugo, Music expresses that which cannot be put into words and that which cannot remain silent, literature* music* poetry* 
224, Isaac Asimov, The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom., life* science* wisdom* 
225, Harper Lee, Until I feared I would lose it* I never loved to read. One does not love breathing., reading* 
226, Charlotte Brontë, I am no bird; and no net ensnares me: I am a free human being with an independent will., character* empowerment* flaws* freedom* gender* identity* image* independence* integrity* realism* self-awareness* self-determination* women* 
227, Marilyn Monroe, If you're gonna be two-faced at least make one of them pretty., attributed-no-source* 
228, Albert Einstein, I speak to everyone in the same way* whether he is the garbage man or the president of the university., life* respect* 
229, Helen Keller, I would rather walk with a friend in the dark* than alone in the light., friendship* 
230, Charles Bukowski, Do you hate people?I don't hate them...I just feel better when they're not around., humour* misanthropy* paraphrased* 
231, William Styron, A great book should leave you with many experiences* and slightly exhausted at the end. You live several lives while reading., books* reading* 
232, John Green, So I walked back to my room and collapsed on the bottom bunk* thinking that if people were rain* I was drizzle and she was a hurricane., johngreen* lookingforalaska* 
233, Paulo Coelho, When we love* we always strive to become better than we are. When we strive to become better than we are* everything around us becomes better too., hope* inspiration* love* santiago* 
234, Anne Frank, How wonderful it is that nobody need wait a single moment before starting to improve the world., activism* life* optimism* philosophy* world* 
235, C.S. Lewis, A children's story that can only be enjoyed by children is not a good children's story in the slightest., books* children-s-books* reading* 
236, Lemony Snicket, Fate is like a strange* unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like., fate* humor* simile* 
237, C.E.M. Joad, Creativity is knowing how to hide your sources, creativity* humor* misattributed-to-einstein* paraphrased* 
238, Stephen King, If you don't have time to read* you don't have the time (or the tools) to write. Simple as that., reading* writing* 
239, Cassandra Clare," Is this the part where you start tearing off strips of your shirt to bind my wounds?""""If you wanted me to rip my clothes off* you should have just asked.", clary* clothes* jace* wounds* 
240, Rick Riordan, With great power... comes great need to take a nap. Wake me up later., nico* 
241, George R.R. Martin, Never forget what you are* for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it* and it will never be used to hurt you., identity* 
242, Lisa Kleypas, I no longer believed in the idea of soul mates* or love at first sight. But I was beginning to believe that a very few times in your life* if you were lucky* you might meet someone who was exactly right for you. Not because he was perfect* or because you were* but because your combined flaws were arranged in a way that allowed two separate beings to hinge together., love* relationships* romance* 
243, Suzanne Collins, I wish I could freeze this moment* right here* right now and live in it forever., peeta* 
244, Mahatma Gandhi, Happiness is when what you think* what you say* and what you do are in harmony., attributed-no-source* happiness* 
245, Terry Pratchett, Give a man a fire and he's warm for a day* but set fire to him and he's warm for the rest of his life., humor* proverb* 
246, Rita Mae Brown, The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok* then it's you., humor* insanity* 
247, Mark Twain, Keep away from people who try to belittle your ambitions. Small people always do that* but the really great make you feel that you* too* can become great., greatness* 
248, Sarah Dessen, Life is an awful* ugly place to not have a best friend., friendship* 
249, Laurel Thatcher Ulrich, Well-behaved women seldom make history., inspirational* misattributed-eleanor-roosevelt* women* 
250, Cassandra Clare," I don't want to be a man*"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""""Well*"" said Luke* ""you're doing a fantastic job.", clary-fray* demons* growing-up* humor* jace-wayland* luke* teenager* 
251, J.K. Rowling, We're all human* aren't we? Every human life is worth the same* and worth saving., human* life* value* worth* 
252, Joseph Conrad, Being a woman is a terribly difficult trade since it consists principally of dealings with men., women* 
253, Paulo Coelho, One is loved because one is loved. No reason is needed for loving., love* 
254, Virginia Woolf, Lock up your libraries if you like; but there is no gate* no lock* no bolt that you can set upon the freedom of my mind., freedom* women* writing* 
255, F. Scott Fitzgerald, So we beat on* boats against the current* borne back ceaselessly into the past., book* inspirational* 
256, Leo Tolstoy, Everyone thinks of changing the world* but no one thinks of changing himself., change* tolstoy* 
257, C.S. Lewis, If we find ourselves with a desire that nothing in this world can satisfy* the most probable explanation is that we were made for another world., god* world* 
258, J.R.R. Tolkien, I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve., family* friends* parties* social* 
259, Robert Frost," The Road Not TakenTwo roads diverged in a yellow wood*And sorry I could not travel both	And be one traveler* long I stood	And looked down one as far as I could	To where it bent in the undergrowth;	  Then took the other* as just as fair*	And having perhaps the better claim*	Because it was grassy and wanted wear;	Though as for that the passing there	Had worn them really about the same*	  And both that morning equally lay	In leaves no step had trodden black.	Oh* I kept the first for another day!	Yet knowing how way leads on to way*	I doubted if I should ever come back.	  I shall be telling this with a sigh	Somewhere ages and ages hence:	Two roads diverged in a wood* and I—	I took the one less traveled by*	And that has made all the difference.", choice* poetry* 
260, John Green, The world is not a wish-granting factory., 
261, Roald Dahl, And above all* watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it., believe* glittering-eyes* hidden* magic* secrets* unlikely-places* watch* world* 
262, Mahatma Gandhi, When I despair* I remember that all through history the way of truth and love have always won. There have been tyrants and murderers* and for a time* they can seem invincible* but in the end* they always fall. Think of it--always., despair* evil* goodness* inspirational* love* sadness* truth* victory* 
263, Henry Wadsworth Longfellow, Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad., coldness* depression* happiness* life* sad* sadness* sorrow* 
264, Jane Austen, In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you., love* mr-darcy* 
265, Marlene Dietrich, It's the friends you can call up at 4 a.m. that matter., attributed-no-source* 
266, Stephen Chbosky, There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons., happiness* 
267, Veronica Roth, Becoming fearless isn't the point. That's impossible. It's learning how to control your fear* and how to be free from it., dauntless* divergent* fearless* four* tris* 
268, Marilyn Monroe, It's far better to be unhappy alone than unhappy with someone — so far., alone* attributed-no-source* 
269, Nicholas Sparks, Sometimes you have to be apart from people you love* but that doesn't make you love them any less. Sometimes you love them more., 
270, Jodi Picoult, Let me tell you this: if you meet a loner* no matter what they tell you* it's not because they enjoy solitude. It's because they have tried to blend into the world before* and people continue to disappoint them., disappointment* loneliness* loner* solitude* 
